feature_number,y
V27,0.040755174
V34,0.017582101
V32,0.015354265
V24,0.014823847
V4,0.014431573
V29,0.012790441
V36,0.011503241
V61,0.010893594
V21,0.009870091
V38,0.00747473
V20,0.006052925
V49,0.004992952
V6,0.004297077
V23,0.004269776
V50,0.003854429
V12,0.003739559
V44,0.003570416
V39,0.003552373
V14,0.003530986
V64,0.003407389
V10,0.003365923
V30,0.003346918
V8,0.003245772
V19,0.003244725
V55,0.003183311
V62,0.00277297
V46,0.002689236
V28,0.002522764
V56,0.002433672
V60,0.002069832
V31,0.001734359
V2,0.001687695
V59,0.001657692
V25,0.001616743
V57,0.001585848
V22,0.001582958
V52,0.001578636
V63,0.00147469
V26,0.001424998
V65,0.001353668
V5,0.001278851
V58,0.000902081
V43,0.000777319
V18,0.000707591
V47,0.000611273
V1,0.000436114
V51,0.000429989
V35,0.00030513
V17,0.000289737
V54,0.000186722
V66,0.00016385
V13,-0.000385147
V42,-0.000407365
V53,-0.000924779
V33,-0.001024266
V9,-0.001490015
V37,-0.001520486
V15,-0.00184669
V45,-0.002041275
V40,-0.002165566
V11,-0.002967124
V16,-0.003803655
V41,-0.005910903
V7,-0.006522681
V3,-0.007627355
V48,-0.010386069
