feature_number,y
V27,0.033773079
V34,0.019842651
V4,0.018736461
V24,0.012912274
V64,0.011705228
V29,0.011346367
V32,0.010314103
V36,0.010007795
V61,0.008512819
V59,0.007601189
V66,0.007481297
V20,0.006679121
V63,0.006223421
V58,0.00579374
V28,0.005297771
V60,0.004856147
V50,0.004596063
V25,0.004537496
V12,0.004331989
V51,0.00409794
V2,0.004021172
V46,0.003595684
V10,0.003434839
V38,0.00312958
V37,0.003068734
V39,0.003027487
V42,0.002943289
V47,0.002851872
V22,0.002471607
V6,0.002418794
V8,0.002392623
V55,0.002390849
V23,0.002251341
V26,0.002101001
V5,0.002010376
V44,0.002001833
V52,0.001758657
V1,0.001649004
V15,0.001366183
V54,0.001345142
V16,0.001183443
V19,0.000829381
V17,0.000739119
V30,0.000556544
V21,0.000408872
V31,0.00029592
V43,0.000278531
V49,0.000266871
V62,4.81E-05
V45,3.17E-05
V41,-0.000335181
V18,-0.000465147
V13,-0.00048148
V14,-0.000612936
V11,-0.000687147
V35,-0.001011383
V56,-0.001038142
V9,-0.001206765
V40,-0.001267794
V33,-0.001596319
V57,-0.001776418
V53,-0.002144596
V3,-0.003300449
V65,-0.004502799
V48,-0.005089097
V7,-0.0078051
